"tiempo","produccion","pastizales","alpacas","empleo","precipitacion","temperatura"
1992,3448,17.61,2.697,3.27433,1399.87,19.86
1993,3305,17.457,2.685,3.39339,1670.28,19.66
1994,3728,17.304,2.721,3.44412,1649.18,19.66
1995,2775,17.38695,2.755,3.58347,1421.02,19.69
1996,3364.5,17.4699,2.663,3.73291,1546.52,19.08
1997,3337,17.55285,2.676,3.85057,1588.42,20.13
1998,3047,17.6358,2.84334,4.03689,1531.52,20.36
1999,3272.13,17.71875,3.040089,4.22274,1767,19.24
2000,3110,17.8017,3.068209,4.15053,1684.58,19.39
2001,3398.66,17.88465,3.182373,4.44908,1749.32,19.32
2002,3165.41376103,17.9676,3.335835,4.51668,1695.84,19.66
2003,3102.76197106,18.05055,3.422557,4.60991,1764.28,19.63
2004,3248.4790285,18.1335,3.429019,4.62069,1752.64,19.72
2005,3597.28642763,18.21645,3.5975548205,4.58841,1536.04,19.59
2006,3510,18.2994,3.625627,4.68793,1809.69,19.72
2007,3895,18.38235,3.68734,4.65068,1697.16,19.19
2008,4019,18.4653,3.780806,4.45012,1685.59,19.36
2009,4386.50170657,18.54825,4.1055818205,4.49449,1711.83,19.73
2010,4351.78262252,18.6312,4.17749864907143,4.40765,1407.81,19.66
2011,4661.41439528,18.71415,4.322258436,4.28069,1633.49,19.45
2012,4797.39329212,18.7971,3.92423,4.19208,1503.31,19.63
2013,4420.26213374,18.671,3.97829,4.18303,1605.18,19.28
2014,4485,18.566,4.095554875,4.27399,1573.1,19.67
2015,4438.00083034,18.418,4.31845710936433,4.37343,1575.91,20.2
2016,4508.48255248,18.357,4.31922775,4.40738,1510.55,20.11
2017,4314.22953,18.532,4.33071,4.45148,1725.86,19.88
2018,4575,18.196,4.384846,4.5699,1597.47,19.57
2019,4452.79706377,18.185,4.456049,4.59497,1745.83,19.6
2020,4351.67473934,18.284,4.450422,5.26738,1302.93,19.81
2021,4403.32275813,18.383,4.485497,4.72011,1516.64,19.65
2022,4421.94390977,18.186922,4.533924,4.62913,1234.41,19.53
